TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
206623351,14.0634,0.003399983,2955,0.223111,0.24919,0.0024919,1.95E+33,0.57749,0.170543584
206649739,14.2371,0.006106652,3145,0.263972,2.427259,0.02427259,1.11E+33,0.52329,0.213258592
207082763,10.8088,0.026731001,3387,0.476184,0.850675,0.00850675,1.53E+33,0.08484,0.374665724
207108993,10.9633,0.024383859,3395,0.452657,0.753369,0.00753369,3.27E+32,0.02625,0.361751279
207138379,12.9548,0.008014973,3059,0.319661,0.493011,0.00493011,8.51E+32,0.2361,0.236582409
207140650,11.2551,0.076184446,3688,0.67803,2.097739,0.02097739,2.17E+33,0.02036,0.558793375
207148580,12.2073,0.004317374,3158,0.220132,0.501932,0.00501932,1.31E+32,0.06342,0.186823684
207169757,13.7995,0.013446384,3126,0.396481,0.957184,0.00957184,7.67E+33,0.62248,0.288235269
207172859,13.5423,0.004241961,3074,0.230289,1.596881,0.01596881,7.86E+32,0.22988,0.185571352
207238086,12.4637,0.003613575,3160,0.201137,0.460544,0.00460544,1.13E+32,0.0565,0.174555991
214664015,13.67,0.004963136,3180,0.232767,4.619685,0.04619685,6.31E+32,0.18422,0.197032307
214912309,13.1617,0.004220285,3178,0.214912,0.527665,0.00527665,4.64E+32,0.09261,0.185208843
215197039,10.9913,0.044981886,3542,0.564832,2.116796,0.02116796,1.56E+33,0.03269,0.456995651
218963269,12.8486,0.00567075,3185,0.248027,0.514159,0.00514159,3.59E+32,0.0846,0.207314994
219339932,11.0673,0.042635022,3635,0.522122,3.250794,0.03250794,7.65E+32,0.03446,0.447744172
219993473,12.2209,0.013967774,3132,0.402548,0.694826,0.00694826,7.27E+32,0.06656,0.292451003
220018894,12.6444,0.026181277,3231,0.517868,1.358541,0.01358541,1.99E+33,0.07084,0.37170597
220391763,11.6309,0.005997477,3155,0.259946,0.586059,0.00586059,8.90E+31,0.05337,0.211795259
220417260,13.0468,0.030945414,3474,0.487008,3.792593,0.03792593,1.28E+33,0.03837,0.396197331
220429097,14.0127,0.000857459,2809,0.123994,0.496034,0.00496034,9.70E+31,0.17362,0.100806955
220432563,11.3002,0.016366858,3387,0.372606,1.704022,0.01704022,1.07E+33,0.08917,0.31068995
220433363,8.7057,0.022139393,3410,0.427535,0.855925,0.00855925,5.12E+32,0.04538,0.348661255
220433364,9.42788,0.012603151,3268,0.351215,0.855925,0.00855925,6.71E+32,0.09527,0.28119777
220436250,12.7553,0.053187341,3508,0.626156,4.551111,0.04551111,3.43E+33,0.02805,0.487177376
